page,interface,kind,field,flag,dtype,value,desc
79,get_financial_data,RETURN,FN150,,double,,经营活动产生的现金流量净额2
79,get_financial_data,RETURN,FN151,,double,,债务转为资本
79,get_financial_data,RETURN,FN152,,double,,一年内到期的可转换公司债券
79,get_financial_data,RETURN,FN153,,double,,融资租入固定资产
79,get_financial_data,RETURN,FN154,,double,,现金的期末余额
79,get_financial_data,RETURN,FN155,,double,,减：现金的期初余额
79,get_financial_data,RETURN,FN156,,double,,加：现金等价物的期末余额
79,get_financial_data,RETURN,FN157,,double,,减：现金等价物的期初余额
79,get_financial_data,RETURN,FN158,,double,,现金及现金等价物净增加额
79,get_financial_data,RETURN,FN159,,double,,流动比率(非金融类指标)
80,get_financial_data,RETURN,FN160,,double,,速动比率(非金融类指标)
80,get_financial_data,RETURN,FN161,,double,,现金比率(%)(非金融类指标)
80,get_financial_data,RETURN,FN162,,double,,利息保障倍数(非金融类指标)
80,get_financial_data,RETURN,FN163,,double,,非流动负债比率(%)(非金融类指标)
80,get_financial_data,RETURN,FN164,,double,,流动负债比率(%)(非金融类指标)
80,get_financial_data,RETURN,FN166,,double,,有形资产净值债务率(%)
80,get_financial_data,RETURN,FN167,,double,,权益乘数(%)
80,get_financial_data,RETURN,FN168,,double,,股东的权益/负债合计(%)
80,get_financial_data,RETURN,FN169,,double,,有形资产/负债合计(%)
80,get_financial_data,RETURN,FN170,,double,,经营活动产生的现金流量净额/负债合计 (%)(非金融类指标)
80,get_financial_data,RETURN,FN171,,double,,EBITDA/负债合计(%)(非金融类指标)
80,get_financial_data,RETURN,FN172,,double,,应收帐款周转率(非金融类指标)
80,get_financial_data,RETURN,FN173,,double,,存货周转率(非金融类指标)
80,get_financial_data,RETURN,FN174,,double,,运营资金周转率(非金融类指标)
80,get_financial_data,RETURN,FN175,,double,,总资产周转率(非金融类指标)
80,get_financial_data,RETURN,FN176,,double,,固定资产周转率(非金融类指标)
80,get_financial_data,RETURN,FN177,,double,,应收帐款周转天数(非金融类指标)
80,get_financial_data,RETURN,FN178,,double,,存货周转天数(非金融类指标)
80,get_financial_data,RETURN,FN179,,double,,流动资产周转率(非金融类指标)
80,get_financial_data,RETURN,FN180,,double,,流动资产周转天数(非金融类指标)
80,get_financial_data,RETURN,FN181,,double,,总资产周转天数(非金融类指标)
80,get_financial_data,RETURN,FN182,,double,,股东权益周转率(非金融类指标)
80,get_financial_data,RETURN,FN183,,double,,营业收入增长率(%)
80,get_financial_data,RETURN,FN184,,double,,净利润增长率(%)
80,get_financial_data,RETURN,FN185,,double,,净资产增长率(%)
80,get_financial_data,RETURN,FN186,,double,,固定资产增长率(%)
80,get_financial_data,RETURN,FN187,,double,,总资产增长率(%)
81,get_financial_data,RETURN,FN188,,double,,投资收益增长率(%)
81,get_financial_data,RETURN,FN189,,double,,营业利润增长率(%)
81,get_financial_data,RETURN,FN190,,double,,扣非每股收益同比(%)
81,get_financial_data,RETURN,FN191,,double,,扣非净利润同比(%)
81,get_financial_data,RETURN,FN192,,double,,暂无
81,get_financial_data,RETURN,FN193,,double,,成本费用利润率(%)
81,get_financial_data,RETURN,FN194,,double,,营业利润率(非金融类指标)
81,get_financial_data,RETURN,FN195,,double,,营业税金率(非金融类指标)
81,get_financial_data,RETURN,FN196,,double,,营业成本率(非金融类指标)
81,get_financial_data,RETURN,FN197,,double,,净资产收益率
81,get_financial_data,RETURN,FN198,,double,,投资收益率
81,get_financial_data,RETURN,FN199,,double,,销售净利率(%)
81,get_financial_data,RETURN,FN200,,double,,总资产净利率
81,get_financial_data,RETURN,FN201,,double,,净利润率(非金融类指标)
81,get_financial_data,RETURN,FN202,,double,,销售毛利率(%)(非金融类指标)
81,get_financial_data,RETURN,FN203,,double,,三费比重(非金融类指标)
81,get_financial_data,RETURN,FN204,,double,,管理费用率(非金融类指标)
81,get_financial_data,RETURN,FN205,,double,,财务费用率(非金融类指标)
81,get_financial_data,RETURN,FN206,,double,,扣除非经常性损益后的净利润
81,get_financial_data,RETURN,FN207,,double,,息税前利润(EBIT)
81,get_financial_data,RETURN,FN208,,double,,息税折旧摊销前利润(EBITDA)
81,get_financial_data,RETURN,FN209,,double,,EBITDA/营业总收入(%)(非金融类指标)
81,get_financial_data,RETURN,FN210,,double,,资产负债率(%)
81,get_financial_data,RETURN,FN211,,double,,流动资产比率(非金融类指标)
81,get_financial_data,RETURN,FN212,,double,,货币资金比率(非金融类指标)
81,get_financial_data,RETURN,FN213,,double,,存货比率(非金融类指标)
81,get_financial_data,RETURN,FN214,,double,,固定资产比率
82,get_financial_data,RETURN,FN215,,double,,负债结构比(非金融类指标)
82,get_financial_data,RETURN,FN216,,double,,归属于母公司股东权益/全部投入资本(%)
82,get_financial_data,RETURN,FN217,,double,,股东的权益/带息债务(%)
82,get_financial_data,RETURN,FN218,,double,,有形资产/净债务(%)
82,get_financial_data,RETURN,FN219,,double,,每股经营性现金流(元)
82,get_financial_data,RETURN,FN220,,double,,营业收入现金含量(%)(非金融类指标)
82,get_financial_data,RETURN,FN221,,double,,经营活动产生的现金流量净额/经营活动 净收益(%)
82,get_financial_data,RETURN,FN222,,double,,销售商品提供劳务收到的现金/营业收入 (%)
82,get_financial_data,RETURN,FN223,,double,,经营活动产生的现金流量净额/营业收入
82,get_financial_data,RETURN,FN224,,double,,资本支出/折旧和摊销
82,get_financial_data,RETURN,FN225,,double,,每股现金流量净额(元)
82,get_financial_data,RETURN,FN226,,double,,经营净现金比率（短期债务）(非金融类 指标)
82,get_financial_data,RETURN,FN227,,double,,经营净现金比率（全部债务）
82,get_financial_data,RETURN,FN228,,double,,经营活动现金净流量与净利润比率
82,get_financial_data,RETURN,FN229,,double,,全部资产现金回收率
82,get_financial_data,RETURN,FN230,,double,,营业收入
82,get_financial_data,RETURN,FN231,,double,,营业利润
82,get_financial_data,RETURN,FN232,,double,,归属于母公司所有者的净利润
82,get_financial_data,RETURN,FN233,,double,,扣除非经常性损益后的净利润
82,get_financial_data,RETURN,FN234,,double,,经营活动产生的现金流量净额
82,get_financial_data,RETURN,FN235,,double,,投资活动产生的现金流量净额
82,get_financial_data,RETURN,FN236,,double,,筹资活动产生的现金流量净额
82,get_financial_data,RETURN,FN237,,double,,现金及现金等价物净增加额
82,get_financial_data,RETURN,FN238,,double,,总股本
82,get_financial_data,RETURN,FN239,,double,,已上市流通A股
82,get_financial_data,RETURN,FN240,,double,,已上市流通B股
83,get_financial_data,RETURN,FN241,,double,,已上市流通H股
83,get_financial_data,RETURN,FN242,,double,,股东人数(户)
83,get_financial_data,RETURN,FN243,,double,,第一大股东的持股数量
83,get_financial_data,RETURN,FN244,,double,,十大流通股东持股数量合计(股)
83,get_financial_data,RETURN,FN245,,double,,十大股东持股数量合计(股)
83,get_financial_data,RETURN,FN246,,double,,机构总量（家）
83,get_financial_data,RETURN,FN247,,double,,机构持股总量(股)
83,get_financial_data,RETURN,FN248,,double,,QFII机构数
83,get_financial_data,RETURN,FN249,,double,,QFII持股量
83,get_financial_data,RETURN,FN250,,double,,券商机构数
83,get_financial_data,RETURN,FN251,,double,,券商持股量
83,get_financial_data,RETURN,FN252,,double,,保险机构数
83,get_financial_data,RETURN,FN253,,double,,保险持股量
83,get_financial_data,RETURN,FN254,,double,,基金机构数
83,get_financial_data,RETURN,FN255,,double,,基金持股量
83,get_financial_data,RETURN,FN256,,double,,社保机构数
83,get_financial_data,RETURN,FN257,,double,,社保持股量
83,get_financial_data,RETURN,FN258,,double,,私募机构数
83,get_financial_data,RETURN,FN259,,double,,私募持股量
83,get_financial_data,RETURN,FN260,,double,,财务公司机构数
83,get_financial_data,RETURN,FN261,,double,,财务公司持股量
83,get_financial_data,RETURN,FN262,,double,,年金机构数
83,get_financial_data,RETURN,FN263,,double,,年金持股量
83,get_financial_data,RETURN,FN264,,double,,十大流通股东持有的流通A股合计(股)[ 注：2019半年报之前，季度报告中，若 股东持股除了流通A股、还有流通B股或 流通H股，指标264取的是包含流通B股或 流通H股的流通股数]
83,get_financial_data,RETURN,FN265,,double,,第一大流通股东持股量(股)
84,get_financial_data,RETURN,FN266,,double,,自由流通股(股)[注：1.自由流通股=已流 通A股-持股5%以上股东的流通A股（一 致行动人算一起）；2.指标按报告期展 示，新股在上市日的下个报告期才有数 据]
84,get_financial_data,RETURN,FN267,,double,,受限流通A股(股)
84,get_financial_data,RETURN,FN268,,double,,一般风险准备(金融类)
84,get_financial_data,RETURN,FN269,,double,,其他综合收益(利润表)
84,get_financial_data,RETURN,FN270,,double,,综合收益总额(利润表)
84,get_financial_data,RETURN,FN271,,double,,归属于母公司股东权益(资产负债表)
84,get_financial_data,RETURN,FN272,,double,,银行机构数(家)(机构持股)
84,get_financial_data,RETURN,FN273,,double,,银行持股量(股)(机构持股)
84,get_financial_data,RETURN,FN274,,double,,一般法人机构数(家)(机构持股)
84,get_financial_data,RETURN,FN275,,double,,一般法人持股量(股)(机构持股)
84,get_financial_data,RETURN,FN276,,double,,近一年净利润(元)
84,get_financial_data,RETURN,FN277,,double,,信托机构数(家)(机构持股)
84,get_financial_data,RETURN,FN278,,double,,信托持股量(股)(机构持股)
84,get_financial_data,RETURN,FN279,,double,,特殊法人机构数(家)(机构持股)
84,get_financial_data,RETURN,FN280,,double,,特殊法人持股量(股)(机构持股)
84,get_financial_data,RETURN,FN281,,double,,加权净资产收益率(每股指标)
84,get_financial_data,RETURN,FN282,,double,,扣非每股收益(单季度财务指标)
84,get_financial_data,RETURN,FN283,,double,,最近一年营业收入(万元)
84,get_financial_data,RETURN,FN284,,double,,国家队持股数量（万股)[注：本指标统计 包含汇金公司、证金公司、外汇管理局 旗下投资平台、国家队基金、国开、养 老金以及中科汇通等国家队机构持股数 量]
84,get_financial_data,RETURN,FN285,,double,,业绩预告-本期归母净利润同比增幅下 限%[注：指标285至294展示未来一个报 告期的数据。例，3月31日至6月29日这 段时间内展示的是中报的数据；如果最 新的财务报告后面有多个报告期的业绩 预告/快报，只能展示最新的财务报告后 面的一个报告期的业绩预告/快报]
85,get_financial_data,RETURN,FN286,,double,,业绩预告-本期归母净利润同比增幅上 限%
85,get_financial_data,RETURN,FN287,,double,,业绩快报-归母净利润
85,get_financial_data,RETURN,FN288,,double,,业绩快报-扣非净利润
85,get_financial_data,RETURN,FN289,,double,,业绩快报-总资产
85,get_financial_data,RETURN,FN290,,double,,业绩快报-净资产
85,get_financial_data,RETURN,FN291,,double,,业绩快报-每股收益
85,get_financial_data,RETURN,FN292,,double,,业绩快报-摊薄净资产收益率
85,get_financial_data,RETURN,FN293,,double,,业绩快报-加权净资产收益率
85,get_financial_data,RETURN,FN294,,double,,业绩快报-每股净资产
85,get_financial_data,RETURN,FN295,,double,,应付票据及应付账款(资产负债表)
85,get_financial_data,RETURN,FN296,,double,,应收票据及应收账款(资产负债表)
85,get_financial_data,RETURN,FN297,,double,,递延收益(资产负债表-非流动负债)
85,get_financial_data,RETURN,FN298,,double,,其他综合收益(资产负债表)
85,get_financial_data,RETURN,FN299,,double,,其他权益工具(资产负债表)
85,get_financial_data,RETURN,FN300,,double,,其他收益(利润表)
85,get_financial_data,RETURN,FN301,,double,,资产处置收益(利润表)
85,get_financial_data,RETURN,FN302,,double,,持续经营净利润(利润表)
85,get_financial_data,RETURN,FN303,,double,,终止经营净利润(利润表)
85,get_financial_data,RETURN,FN304,,double,,研发费用(利润表)
85,get_financial_data,RETURN,FN305,,double,,其中:利息费用(利润表-财务费用)
85,get_financial_data,RETURN,FN306,,double,,其中:利息收入(利润表-财务费用)
85,get_financial_data,RETURN,FN307,,double,,近一年经营活动现金流净额
85,get_financial_data,RETURN,FN308,,double,,近一年归母净利润(万元)
85,get_financial_data,RETURN,FN309,,double,,近一年扣非净利润(万元)
85,get_financial_data,RETURN,FN310,,double,,近一年现金净流量(万元)
85,get_financial_data,RETURN,FN311,,double,,基本每股收益（单季度）
85,get_financial_data,RETURN,FN312,,double,,营业总收入(单季度)(万元)
86,get_financial_data,RETURN,FN313,,double,,"业绩预告公告日期 [注：本指标展示未来 一个报告期的数据。例,3月31日至6月29 日这段时间内展示的是中报的数据；如 果最新的财务报告后面有多个报告期的 业绩预告/快报，只能展示最新的财务报 告后面的一个报告期的业绩预告/快报的 数据；公告日期格式为YYMMDD，例： 190101代表2019年1月1日]"
86,get_financial_data,RETURN,FN314,,double,,"财报公告日期 [注：日期格式为 YYMMDD,例：190101代表2019年1月1 日]"
86,get_financial_data,RETURN,FN315,,double,,"业绩快报公告日期 [注：本指标展示未来 一个报告期的数据。例,3月31日至6月29 日这段时间内展示的是中报的数据；如 果最新的财务报告后面有多个报告期的 业绩预告/快报，只能展示最新的财务报 告后面的一个报告期的业绩预告/快报的 数据；公告日期格式为YYMMDD，例： 190101代表2019年1月1日]"
86,get_financial_data,RETURN,FN316,,double,,近一年投资活动现金流净额(万元)
86,get_financial_data,RETURN,FN317,,double,,业绩预告-本期归母净利润下限(万元) [注：指标317至318展示未来一个报告期 的数据。例，3月31日至6月29日这段时 间内展示的是中报的数据；如果最新的 财务报告后面有多个报告期的业绩预告/ 快报，只能展示最新的财务报告后面的 一个报告期的业绩预告/快报]
86,get_financial_data,RETURN,FN318,,double,,业绩预告-本期归母净利润上限(万元)
86,get_financial_data,RETURN,FN319,,double,,营业总收入TTM(万元)
86,get_financial_data,RETURN,FN320,,double,,员工总数(人)
86,get_financial_data,RETURN,FN321,,double,,每股企业自由现金流
86,get_financial_data,RETURN,FN322,,double,,每股股东自由现金流
86,get_financial_data,RETURN,FN323,,double,,近一年营业利润(万元)
86,get_financial_data,RETURN,FN324,,double,,净利润（单季度）(万元)
86,get_financial_data,RETURN,FN325,,double,,北上资金数（家）(机构持股）
86,get_financial_data,RETURN,FN326,,double,,北上资金持股量（股）(机构持股）
86,get_financial_data,RETURN,FN327,,double,,有息负债率
87,get_financial_data,RETURN,FN328,,double,,营业成本（单季度）(万元)
87,get_financial_data,RETURN,FN329,,double,,投入资本回报率（ROIC）(获利能力分析)
87,get_financial_data,RETURN,FN330,,double,,业绩快报-营业收入（本期）
87,get_financial_data,RETURN,FN331,,double,,业绩快报-营业收入（上期）
87,get_financial_data,RETURN,FN332,,double,,业绩快报-营业利润（本期）
87,get_financial_data,RETURN,FN333,,double,,业绩快报-营业利润（上期）
87,get_financial_data,RETURN,FN334,,double,,业绩快报-利润总额（本期）
87,get_financial_data,RETURN,FN335,,double,,业绩快报-利润总额（上期）
87,get_financial_data,RETURN,FN336,,double,,"审计意见 [注：0-未审计,1-无保留意见,2- 带强调事项段的无保留意见,3-保留意 见,4-无法表示意见,5-否定意见及其他]"
87,get_financial_data,RETURN,FN337,,double,,股利支付率（%）
87,get_financial_data,RETURN,FN338,,double,,近一年营业成本-非金融类(万元)
87,get_financial_data,RETURN,FN339,,double,,近一年营业成本-金融类(万元)
87,get_financial_data,RETURN,FN340,,double,,业绩预告-本期扣非后净利润下限(万元)
87,get_financial_data,RETURN,FN341,,double,,业绩预告-本期扣非后净利润上限(万元)
87,get_financial_data,RETURN,FN342,,double,,业绩预告-本期扣非后净利润同比增长下 限（%）
87,get_financial_data,RETURN,FN343,,double,,业绩预告-本期扣非后净利润同比增长上 限（%）
87,get_financial_data,RETURN,FN344,,double,,业绩预告-预告基本每股收益下限(元)
87,get_financial_data,RETURN,FN345,,double,,业绩预告-预告基本每股收益上限(元)
87,get_financial_data,RETURN,FN346,,double,,业绩预告-预告基本每股收益同比增长下 限（%）
87,get_financial_data,RETURN,FN347,,double,,业绩预告-预告基本每股收益同比增长上 限（%）
87,get_financial_data,RETURN,FN348,,double,,业绩预告-预告扣非后基本每股收益下限 (元)
87,get_financial_data,RETURN,FN349,,double,,业绩预告-预告扣非后基本每股收益上限 (元)
88,get_financial_data,RETURN,FN350,,double,,业绩预告-预告扣非后基本每股收益同比 增长下限（%）
88,get_financial_data,RETURN,FN351,,double,,业绩预告-预告扣非后基本每股收益同比 增长上限（%）
88,get_financial_data,RETURN,FN352,,double,,业绩预告-预告营业收入下限(万元)
88,get_financial_data,RETURN,FN353,,double,,业绩预告-预告营业收入上限(万元)
88,get_financial_data,RETURN,FN354,,double,,业绩预告-预告营业收入同比增长下限 （%）
88,get_financial_data,RETURN,FN355,,double,,业绩预告-预告营业收入同比增长上限 （%）
88,get_financial_data,RETURN,FN356,,double,,业绩预告-预告扣除后营业收入下限(万 元)
88,get_financial_data,RETURN,FN357,,double,,业绩预告-预告扣除后营业收入上限(万 元)
88,get_financial_data,RETURN,FN358,,double,,主营业务收入(内销)(万元)
88,get_financial_data,RETURN,FN359,,double,,主营业务收入(外销)(万元)
88,get_financial_data,RETURN,FN360,,double,,资管计划机构数(家)
88,get_financial_data,RETURN,FN361,,double,,资管计划持股量(股)
88,get_financial_data,RETURN,FN362,,double,,财务总评分
88,get_financial_data,RETURN,FN401,,double,,专项储备(万元)
88,get_financial_data,RETURN,FN402,,double,,结算备付金(万元)
88,get_financial_data,RETURN,FN403,,double,,拆出资金(万元)
88,get_financial_data,RETURN,FN404,,double,,发放贷款及垫款(万元)(流动资产科目)
88,get_financial_data,RETURN,FN405,,double,,衍生金融资产(万元)
88,get_financial_data,RETURN,FN406,,double,,应收保费(万元)
88,get_financial_data,RETURN,FN407,,double,,应收分保账款(万元)
88,get_financial_data,RETURN,FN408,,double,,应收分保合同准备金(万元)
88,get_financial_data,RETURN,FN409,,double,,买入返售金融资产(万元)
88,get_financial_data,RETURN,FN410,,double,,划分为持有待售的资产(万元)
88,get_financial_data,RETURN,FN411,,double,,发放贷款及垫款(万元)(非流动资产科目)
89,get_financial_data,RETURN,FN412,,double,,向中央银行借款(万元)
89,get_financial_data,RETURN,FN413,,double,,吸收存款及同业存放(万元)
89,get_financial_data,RETURN,FN414,,double,,拆入资金(万元)
89,get_financial_data,RETURN,FN415,,double,,衍生金融负债(万元)
89,get_financial_data,RETURN,FN416,,double,,卖出回购金融资产款(万元)
89,get_financial_data,RETURN,FN417,,double,,应付手续费及佣金(万元)
89,get_financial_data,RETURN,FN418,,double,,应付分保账款(万元)
89,get_financial_data,RETURN,FN419,,double,,保险合同准备金(万元)
89,get_financial_data,RETURN,FN420,,double,,代理买卖证券款(万元)
89,get_financial_data,RETURN,FN421,,double,,代理承销证券款(万元)
89,get_financial_data,RETURN,FN422,,double,,划分为持有待售的负债(万元)
89,get_financial_data,RETURN,FN423,,double,,预计负债(万元) （流动负债）
89,get_financial_data,RETURN,FN424,,double,,递延收益(万元)（流动负债科目，公告此 科目的股票较少，大部分公司没有此数 据）
89,get_financial_data,RETURN,FN425,,double,,其中:优先股(万元)(非流动负债科目)
89,get_financial_data,RETURN,FN426,,double,,永续债(万元)(非流动负债科目)
89,get_financial_data,RETURN,FN427,,double,,长期应付职工薪酬(万元)
89,get_financial_data,RETURN,FN428,,double,,其中:优先股(万元)(所有者权益科目)
89,get_financial_data,RETURN,FN429,,double,,永续债(万元)(所有者权益科目)
89,get_financial_data,RETURN,FN430,,double,,债权投资(万元)
89,get_financial_data,RETURN,FN431,,double,,其他债权投资(万元)
89,get_financial_data,RETURN,FN432,,double,,其他权益工具投资(万元)
89,get_financial_data,RETURN,FN433,,double,,其他非流动金融资产(万元)
89,get_financial_data,RETURN,FN434,,double,,合同负债(万元)
89,get_financial_data,RETURN,FN435,,double,,合同资产(万元)
89,get_financial_data,RETURN,FN436,,double,,其他资产(万元)
89,get_financial_data,RETURN,FN437,,double,,应收款项融资(万元)
90,get_financial_data,RETURN,FN438,,double,,使用权资产(万元)
90,get_financial_data,RETURN,FN439,,double,,租赁负债(万元)
90,get_financial_data,RETURN,FN440,,double,,发放贷款及垫款(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN441,,double,,应收款项(万元) [注：证券类指标]
90,get_financial_data,RETURN,FN442,,double,,存出保证金(万元) [注：证券类指标]
90,get_financial_data,RETURN,FN443,,double,,现金及存放中央银行款项(万元) [注：金 融类科目]
90,get_financial_data,RETURN,FN444,,double,,贵金属(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN445,,double,,以公允价值计量且其变动计入当期损益 的金融资产(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN446,,double,,代理业务资产(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN447,,double,,应收款项类投资(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN448,,double,,同业及其它金融机构存放款项(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN449,,double,,以公允价值计量且其变动计入当期损益 的金融负债(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN450,,double,,吸收存款(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN451,,double,,代理业务负债(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN452,,double,,其他负债(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN453,,double,,发放贷款及垫款(万元) [注：金融类科目]
90,get_financial_data,RETURN,FN501,,double,,稀释每股收益(元)
90,get_financial_data,RETURN,FN502,,double,,营业总收入(万元)
90,get_financial_data,RETURN,FN503,,double,,汇兑收益(万元)
90,get_financial_data,RETURN,FN504,,double,,其中:归属于母公司综合收益(万元)
90,get_financial_data,RETURN,FN505,,double,,其中:归属于少数股东综合收益(万元)
90,get_financial_data,RETURN,FN506,,double,,利息收入(万元)
90,get_financial_data,RETURN,FN507,,double,,已赚保费(万元)
90,get_financial_data,RETURN,FN508,,double,,手续费及佣金收入(万元)
90,get_financial_data,RETURN,FN509,,double,,利息支出(万元)
91,get_financial_data,RETURN,FN510,,double,,手续费及佣金支出(万元)
91,get_financial_data,RETURN,FN511,,double,,退保金(万元)
91,get_financial_data,RETURN,FN512,,double,,赔付支出净额(万元)
91,get_financial_data,RETURN,FN513,,double,,提取保险合同准备金净额(万元)
91,get_financial_data,RETURN,FN514,,double,,保单红利支出(万元)
91,get_financial_data,RETURN,FN515,,double,,分保费用(万元)
91,get_financial_data,RETURN,FN516,,double,,其中:非流动资产处置利得(万元)
91,get_financial_data,RETURN,FN517,,double,,信用减值损失(万元)
91,get_financial_data,RETURN,FN518,,double,,净敞口套期收益(万元)
91,get_financial_data,RETURN,FN519,,double,,营业总成本(万元)
91,get_financial_data,RETURN,FN520,,double,,信用减值损失(万元、2019格式)
91,get_financial_data,RETURN,FN521,,double,,资产减值损失(万元、2019格式)
91,get_financial_data,RETURN,FN522,,double,,其他业务收入(万元) [注：金融类科目]
91,get_financial_data,RETURN,FN523,,double,,业务及管理费(万元) [注：金融类科目]
91,get_financial_data,RETURN,FN524,,double,,其他业务成本(万元) [注：金融类科目]
91,get_financial_data,RETURN,FN561,,double,,加:其他原因对现金的影响2(万元)(现金的 期末余额科目)
91,get_financial_data,RETURN,FN562,,double,,客户存款和同业存放款项净增加额(万元)
91,get_financial_data,RETURN,FN563,,double,,向中央银行借款净增加额(万元)
91,get_financial_data,RETURN,FN564,,double,,向其他金融机构拆入资金净增加额(万元)
91,get_financial_data,RETURN,FN565,,double,,收到原保险合同保费取得的现金(万元)
91,get_financial_data,RETURN,FN566,,double,,收到再保险业务现金净额(万元)
91,get_financial_data,RETURN,FN567,,double,,保户储金及投资款净增加额(万元)
91,get_financial_data,RETURN,FN568,,double,,处置以公允价值计量且其变动计入当期 损益的金融资产净增加额(万元)
91,get_financial_data,RETURN,FN569,,double,,收取利息、手续费及佣金的现金(万元)
91,get_financial_data,RETURN,FN570,,double,,拆入资金净增加额(万元)
91,get_financial_data,RETURN,FN571,,double,,回购业务资金净增加额(万元)
92,get_financial_data,RETURN,FN572,,double,,客户贷款及垫款净增加额(万元)
92,get_financial_data,RETURN,FN573,,double,,存放中央银行和同业款项净增加额(万元)
92,get_financial_data,RETURN,FN574,,double,,支付原保险合同赔付款项的现金(万元)
92,get_financial_data,RETURN,FN575,,double,,支付利息、手续费及佣金的现金(万元)
92,get_financial_data,RETURN,FN576,,double,,支付保单红利的现金(万元)
92,get_financial_data,RETURN,FN577,,double,,其中:子公司吸收少数股东投资收到的现 金(万元)
92,get_financial_data,RETURN,FN578,,double,,其中:子公司支付给少数股东的股利、利 润(万元)
92,get_financial_data,RETURN,FN579,,double,,投资性房地产的折旧及摊销(万元)
92,get_financial_data,RETURN,FN580,,double,,信用减值损失(万元)
92,get_financial_data,RETURN,FN581,,double,,使用权资产折旧（万元）
92,get_financial_data,RETURN,FN582,,double,,收取利息和手续费净增加额(万元) [注： 金融类科目]
92,get_financial_data,RETURN,FN583,,double,,支付手续费的现金(万元) [注：金融类科 目]
92,get_financial_data,RETURN,FN584,,double,,发行债券支付的现金(万元) [注：金融类 科目]
94,get_financial_data_by_date,PARAM,stock_list,Y,List[str],,证券代码列表
94,get_financial_data_by_date,PARAM,field_list,Y,List[str],,字段筛选，不能为空（如 FN193 ）
94,get_financial_data_by_date,PARAM,year,Y,int,,指定年份
94,get_financial_data_by_date,PARAM,mmdd,Y,int,,指定月日
96,get_gpjy_value,PARAM,stock_list,Y,List[str],,证券代码列表
96,get_gpjy_value,PARAM,field_list,Y,List[str],,字段筛选，不能为空
96,get_gpjy_value,PARAM,start_time,N,str,,起始时间
96,get_gpjy_value,PARAM,end_time,N,str,,结束时间
96,get_gpjy_value,RETURN,GP01,,double,,股东人数 股东户数(户)
96,get_gpjy_value,RETURN,GP02,,double,,龙虎榜 买入总计(万元) 卖出总计(万元)[注：该指标展示 20230717日之后的数据]
96,get_gpjy_value,RETURN,GP03,,double,,融资融券1 融资余额(万元) 融券余量(股)
96,get_gpjy_value,RETURN,GP04,,double,,大宗交易 成交均价(元) 成交额(万元)
96,get_gpjy_value,RETURN,GP05,,double,,增减持1 成交均价(元) 变动股数(股)
96,get_gpjy_value,RETURN,GP06,,double,,陆股通持股量 持股数量(股)[注：该指标展示20170317日之后的 数据]
96,get_gpjy_value,RETURN,GP07,,double,,陆股通市场成交净额 陆股通市场净买入(万元)[注：官方只公布 了每日的前十名数据]
96,get_gpjy_value,RETURN,GP08,,double,,龙虎榜机构(卖方)数据 卖方机构个数 机构卖出金额(万元)
96,get_gpjy_value,RETURN,GP09,,double,,龙虎榜机构(买方)数据 买方机构个数 机构买入金额(万元)
97,get_gpjy_value,RETURN,GP10,,double,,近3月机构调研情况 近3月机构调研次数 近3月调研机构数量
97,get_gpjy_value,RETURN,GP11,,double,,融资融券2 融资买入额(万元) 融资偿还额(万元)
97,get_gpjy_value,RETURN,GP12,,double,,融资融券3 融券卖出量(股) 融券偿还量(股)
97,get_gpjy_value,RETURN,GP13,,double,,融资融券4 融资净买入(万元) 融券净卖出(股)
97,get_gpjy_value,RETURN,GP14,,double,,"涨停数据 涨停金额(即板上成交,万元) 开板次数[注：该指标展示 20180319日之后的数据]"
97,get_gpjy_value,RETURN,GP15,,double,,"涨跌停 涨跌停状态 封单金额(万元)[注：涨停取2,曾涨停取1,跌停 取-2,曾跌停取-1;跌停和曾跌停时,封单金额取负值 该指标展示 20160926日之后的数据]"
97,get_gpjy_value,RETURN,GP16,,double,,总市值 总市值(万元)
97,get_gpjy_value,RETURN,GP17,,double,,龙虎榜营业部数据 买入金额(万元) 卖出金额(万元)
97,get_gpjy_value,RETURN,GP18,,double,,龙虎榜沪深股通数据 买入金额(万元) 卖出金额(万元)
97,get_gpjy_value,RETURN,GP19,,double,,每周股票质押数量 无限售股份质押数(万) 有限售股份质押数(万) [注：该指标展示20180316日之后的数据]
97,get_gpjy_value,RETURN,GP20,,double,,每周股票质押比例 质押比例(%)[注：该指标展示20180316日之 后的数据]
97,get_gpjy_value,RETURN,GP21,,double,,股息率 股息率(%)
97,get_gpjy_value,RETURN,GP22,,double,,涨跌停 封成比 封流比[注：该指标展示20180319日之后的数据]
97,get_gpjy_value,RETURN,GP23,,double,,拟增减持 拟增持数量(万股) 拟减持数量(万股)
